;Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
198103;0,060880535;0,205489655;-0,034771058;NaN;0,014423136;0,005398737;0,028692423;0,052756911;0,217305767;0,028751938;0,01183113;0,062016473;0,058578461;0,015875606;0,152109343;0,043853313;0,024805086
198104;-0,022184364;-0,099609441;-0,089423742;-0,089208181;-0,030742198;-0,043863104;0,011352938;-0,063272127;-0,050999087;-0,077663234;-0,018166541;0,01182025;-0,005973479;-0,044871004;0,03686167;-0,031222433;0,011928832
198105;0,013646056;0,013963939;-0,051919376;-0,035647029;-0,01075631;-0,033110688;0,000151298;-0,01693812;-0,031965676;-0,046853976;0,005964931;0,019698468;-0,002028781;0,001061222;0,025071235;0,024784499;0,024796164
198106;-0,025187863;-0,027565077;0,044430327;-0,030930514;-0,051288236;0,023524305;-0,036417095;-0,047565492;-0,088454804;-0,087325421;-0,071821507;-0,049881031;-0,067541191;0,01327026;-0,045048753;-0,002140485;-0,039541632
198107;-0,034912209;0,055461945;0,066948091;0,004376799;-0,038650418;-0,065429915;-0,041948643;-0,041830705;-0,009733947;0,040865599;-0,031352154;-0,044588049;-0,066596346;0,023094994;-0,041794023;-0,03857313;-0,027344281
198108;-0,060494149;0,010040276;-0,076555222;-0,049393504;-0,088444982;-0,087329097;-0,063879564;-0,040621567;-0,082950642;-0,032213962;-0,06448445;-0,102830476;-0,114444385;-0,025406948;-0,078474523;-0,073664474;-0,052738312
198109;-0,018883656;-0,181294095;-0,131294199;-0,033388454;-0,040233569;-0,100906829;-0,019425478;-0,143534098;-0,103963406;-0,101941813;-0,062044489;-0,049221965;-0,049365491;-0,073470942;-0,023741994;-0,019770535;-0,017352837
198110;0,080995358;0,021014827;0,087674422;-0,069405282;-0,015973043;0,039919096;0,047498496;0,013183995;-0,022206252;0,058791835;0,008136093;-0,119603915;0,09455872;0,032559952;0,041407323;0,057899788;0,043177981
198111;0,005917323;0,01181776;0,065794158;-0,029029499;0,058311628;0,027736178;0,028228889;0,060186244;0,080510897;-0,038327115;0,032094508;0,017514278;0,004319682;0,043459885;-0,00838992;0,037176317;0,023645147
198112;-0,010014153;-0,076075582;-0,073971023;NaN;-0,020285471;-0,032724236;-0,025384534;-0,057588204;-0,043650525;-0,028150591;-0,013037586;0,029135449;-0,018727541;-0,029713073;-0,03286189;-0,060818033;-0,031791048
